case,kind,history,policy,eligible,collateral,recovered,changed,status
63,set,222,deny,False,False,False,False,denied
64,set,223,snapshot,False,True,False,True,compensated
64,set,223,mapped,False,True,False,True,compensated
64,set,223,value,False,False,False,False,conflict
64,set,223,object,False,False,False,False,conflict
64,set,223,field,False,False,False,False,conflict
64,set,223,undoscope,False,False,False,False,conflict
64,set,223,deny,False,False,False,False,denied
65,set,230,snapshot,False,True,False,True,compensated
65,set,230,mapped,False,True,False,True,compensated
65,set,230,value,False,True,False,True,compensated
65,set,230,object,False,False,False,False,conflict
65,set,230,field,False,False,False,False,conflict
65,set,230,undoscope,False,False,False,False,conflict
65,set,230,deny,False,False,False,False,denied
66,set,231,snapshot,False,True,False,True,compensated
66,set,231,mapped,False,True,False,True,compensated
66,set,231,value,False,False,False,False,conflict
66,set,231,object,False,False,False,False,conflict
66,set,231,field,False,False,False,False,conflict
66,set,231,undoscope,False,False,False,False,conflict
66,set,231,deny,False,False,False,False,denied
67,set,232,snapshot,False,True,False,True,compensated
67,set,232,mapped,False,True,False,True,compensated
67,set,232,value,False,False,False,False,conflict
67,set,232,object,False,False,False,False,conflict
67,set,232,field,False,False,False,False,conflict
67,set,232,undoscope,False,False,False,False,conflict
67,set,232,deny,False,False,False,False,denied
68,set,233,snapshot,False,True,False,True,compensated
68,set,233,mapped,False,True,False,True,compensated
68,set,233,value,False,False,False,False,conflict
68,set,233,object,False,False,False,False,conflict
68,set,233,field,False,False,False,False,conflict
68,set,233,undoscope,False,False,False,False,conflict
68,set,233,deny,False,False,False,False,denied
69,set,300,snapshot,False,True,False,True,compensated
69,set,300,mapped,False,True,False,True,compensated
69,set,300,value,False,True,False,True,compensated
69,set,300,object,False,False,False,False,conflict
69,set,300,field,False,False,False,False,conflict
69,set,300,undoscope,False,False,False,False,conflict
69,set,300,deny,False,False,False,False,denied
70,set,301,snapshot,False,True,False,True,compensated
70,set,301,mapped,False,True,False,True,compensated
70,set,301,value,False,False,False,False,conflict
70,set,301,object,False,False,False,False,conflict
70,set,301,field,False,False,False,False,conflict
70,set,301,undoscope,False,False,False,False,conflict
70,set,301,deny,False,False,False,False,denied
71,set,302,snapshot,False,True,False,True,compensated
71,set,302,mapped,False,True,False,True,compensated
71,set,302,value,False,False,False,False,conflict
71,set,302,object,False,False,False,False,conflict
71,set,302,field,False,False,False,False,conflict
71,set,302,undoscope,False,False,False,False,conflict
71,set,302,deny,False,False,False,False,denied
72,set,303,snapshot,False,True,False,True,compensated
72,set,303,mapped,False,True,False,True,compensated
72,set,303,value,False,True,False,True,compensated
72,set,303,object,False,False,False,False,conflict
72,set,303,field,False,False,False,False,conflict
72,set,303,undoscope,False,False,False,False,conflict
72,set,303,deny,False,False,False,False,denied
73,set,310,snapshot,False,True,False,True,compensated
73,set,310,mapped,False,True,False,True,compensated
73,set,310,value,False,True,False,True,compensated
73,set,310,object,False,False,False,False,conflict
73,set,310,field,False,False,False,False,conflict
73,set,310,undoscope,False,False,False,False,conflict
73,set,310,deny,False,False,False,False,denied
74,set,311,snapshot,False,True,False,True,compensated
74,set,311,mapped,False,True,False,True,compensated
74,set,311,value,False,False,False,False,conflict
74,set,311,object,False,False,False,False,conflict
74,set,311,field,False,False,False,False,conflict
74,set,311,undoscope,False,False,False,False,conflict
74,set,311,deny,False,False,False,False,denied
75,set,312,snapshot,False,True,False,True,compensated
75,set,312,mapped,False,True,False,True,compensated
75,set,312,value,False,False,False,False,conflict
75,set,312,object,False,False,False,False,conflict
75,set,312,field,False,False,False,False,conflict
75,set,312,undoscope,False,False,False,False,conflict
75,set,312,deny,False,False,False,False,denied
76,set,313,snapshot,False,True,False,True,compensated
76,set,313,mapped,False,True,False,True,compensated
76,set,313,value,False,False,False,False,conflict
76,set,313,object,False,False,False,False,conflict
76,set,313,field,False,False,False,False,conflict
76,set,313,undoscope,False,False,False,False,conflict
76,set,313,deny,False,False,False,False,denied
77,set,320,snapshot,False,True,False,True,compensated
77,set,320,mapped,False,True,False,True,compensated
77,set,320,value,False,True,False,True,compensated
77,set,320,object,False,False,False,False,conflict
77,set,320,field,False,False,False,False,conflict
77,set,320,undoscope,False,False,False,False,conflict
77,set,320,deny,False,False,False,False,denied
78,set,321,snapshot,False,True,False,True,compensated
78,set,321,mapped,False,True,False,True,compensated
78,set,321,value,False,False,False,False,conflict
78,set,321,object,False,False,False,False,conflict
78,set,321,field,False,False,False,False,conflict
78,set,321,undoscope,False,False,False,False,conflict
78,set,321,deny,False,False,False,False,denied
79,set,322,snapshot,False,True,False,True,compensated
79,set,322,mapped,False,True,False,True,compensated
79,set,322,value,False,False,False,False,conflict
79,set,322,object,False,False,False,False,conflict
79,set,322,field,False,False,False,False,conflict
79,set,322,undoscope,False,False,False,False,conflict
79,set,322,deny,False,False,False,False,denied
80,set,323,snapshot,False,True,False,True,compensated
80,set,323,mapped,False,True,False,True,compensated
80,set,323,value,False,False,False,False,conflict
80,set,323,object,False,False,False,False,conflict
80,set,323,field,False,False,False,False,conflict
80,set,323,undoscope,False,False,False,False,conflict
80,set,323,deny,False,False,False,False,denied
81,set,330,snapshot,False,True,False,True,compensated
81,set,330,mapped,False,True,False,True,compensated
81,set,330,value,False,True,False,True,compensated
81,set,330,object,False,False,False,False,conflict
81,set,330,field,False,False,False,False,conflict
81,set,330,undoscope,False,False,False,False,conflict
81,set,330,deny,False,False,False,False,denied
82,set,331,snapshot,False,True,False,True,compensated
82,set,331,mapped,False,True,False,True,compensated
82,set,331,value,False,False,False,False,conflict
82,set,331,object,False,False,False,False,conflict
82,set,331,field,False,False,False,False,conflict
82,set,331,undoscope,False,False,False,False,conflict
82,set,331,deny,False,False,False,False,denied
83,set,332,snapshot,False,True,False,True,compensated
83,set,332,mapped,False,True,False,True,compensated
83,set,332,value,False,False,False,False,conflict
83,set,332,object,False,False,False,False,conflict
83,set,332,field,False,False,False,False,conflict
83,set,332,undoscope,False,False,False,False,conflict
83,set,332,deny,False,False,False,False,denied
84,set,333,snapshot,True,True,False,True,compensated
84,set,333,mapped,True,False,True,True,compensated
84,set,333,value,True,False,True,True,compensated
84,set,333,object,True,False,False,False,conflict
84,set,333,field,True,False,True,True,compensated
84,set,333,undoscope,True,False,True,True,compensated
84,set,333,deny,True,False,False,False,denied
85,set,0000,snapshot,False,True,False,True,compensated
85,set,0000,mapped,False,True,False,True,compensated
85,set,0000,value,False,True,False,True,compensated
85,set,0000,object,False,False,False,False,conflict
85,set,0000,field,False,False,False,False,conflict
85,set,0000,undoscope,False,False,False,False,conflict
85,set,0000,deny,False,False,False,False,denied
86,set,0001,snapshot,False,True,False,True,compensated
86,set,0001,mapped,False,True,False,True,compensated
86,set,0001,value,False,False,False,False,conflict
86,set,0001,object,False,False,False,False,conflict
86,set,0001,field,False,False,False,False,conflict
86,set,0001,undoscope,False,False,False,False,conflict
86,set,0001,deny,False,False,False,False,denied
87,set,0002,snapshot,False,True,False,True,compensated
87,set,0002,mapped,False,True,False,True,compensated
87,set,0002,value,False,False,False,False,conflict
87,set,0002,object,False,False,False,False,conflict
87,set,0002,field,False,False,False,False,conflict
87,set,0002,undoscope,False,False,False,False,conflict
87,set,0002,deny,False,False,False,False,denied
88,set,0003,snapshot,False,True,False,True,compensated
88,set,0003,mapped,False,True,False,True,compensated
88,set,0003,value,False,True,False,True,compensated
88,set,0003,object,False,False,False,False,conflict
88,set,0003,field,False,False,False,False,conflict
88,set,0003,undoscope,False,False,False,False,conflict
88,set,0003,deny,False,False,False,False,denied
89,set,0010,snapshot,False,True,False,True,compensated
89,set,0010,mapped,False,True,False,True,compensated
89,set,0010,value,False,True,False,True,compensated
89,set,0010,object,False,False,False,False,conflict
89,set,0010,field,False,False,False,False,conflict
89,set,0010,undoscope,False,False,False,False,conflict
89,set,0010,deny,False,False,False,False,denied
90,set,0011,snapshot,False,True,False,True,compensated
90,set,0011,mapped,False,True,False,True,compensated
90,set,0011,value,False,False,False,False,conflict
90,set,0011,object,False,False,False,False,conflict
90,set,0011,field,False,False,False,False,conflict
90,set,0011,undoscope,False,False,False,False,conflict
90,set,0011,deny,False,False,False,False,denied
91,set,0012,snapshot,False,True,False,True,compensated
91,set,0012,mapped,False,True,False,True,compensated
91,set,0012,value,False,False,False,False,conflict
91,set,0012,object,False,False,False,False,conflict
91,set,0012,field,False,False,False,False,conflict
91,set,0012,undoscope,False,False,False,False,conflict
91,set,0012,deny,False,False,False,False,denied
