round,policy,microseconds,status
76,snapshot,75.125,compensated
76,undoscope,61.791,compensated
76,value,66.875,compensated
76,object,69.667,compensated
77,deny,40.417,denied
77,mapped,66.042,compensated
77,field,78.958,compensated
77,object,77.417,compensated
77,snapshot,84.25,compensated
77,undoscope,73.375,compensated
77,value,66.083,compensated
78,undoscope,68.125,compensated
78,field,61.583,compensated
78,snapshot,75.625,compensated
78,value,68.666,compensated
78,mapped,71.75,compensated
78,object,71.209,compensated
78,deny,47.958,denied
79,undoscope,67.333,compensated
79,snapshot,148.75,compensated
79,object,62.416,compensated
79,value,73.584,compensated
79,field,84.375,compensated
79,mapped,71.083,compensated
79,deny,41.0,denied
80,value,71.917,compensated
80,deny,46.75,denied
80,snapshot,73.708,compensated
80,field,62.417,compensated
80,undoscope,63.834,compensated
80,object,61.0,compensated
80,mapped,66.625,compensated
81,value,66.625,compensated
81,field,59.167,compensated
81,undoscope,59.166,compensated
81,mapped,61.542,compensated
81,object,71.166,compensated
81,snapshot,69.416,compensated
81,deny,46.084,denied
82,mapped,75.75,compensated
82,snapshot,62.834,compensated
82,value,59.25,compensated
82,deny,41.875,denied
82,object,59.167,compensated
82,field,58.25,compensated
82,undoscope,58.917,compensated
83,deny,43.792,denied
83,snapshot,71.375,compensated
83,object,59.334,compensated
83,value,60.625,compensated
83,undoscope,60.417,compensated
83,mapped,58.333,compensated
83,field,65.292,compensated
84,undoscope,59.875,compensated
84,deny,43.459,denied
84,object,65.459,compensated
84,snapshot,69.75,compensated
84,mapped,63.083,compensated
84,value,58.5,compensated
84,field,64.125,compensated
85,undoscope,59.792,compensated
85,deny,44.209,denied
85,mapped,133.542,compensated
85,snapshot,118.791,compensated
85,object,203.416,compensated
85,field,76.0,compensated
85,value,75.125,compensated
86,mapped,71.667,compensated
86,undoscope,67.375,compensated
86,value,69.042,compensated
86,deny,44.209,denied
86,object,70.667,compensated
86,field,70.667,compensated
86,snapshot,78.125,compensated
87,snapshot,68.959,compensated
87,value,75.667,compensated
87,mapped,71.833,compensated
87,undoscope,81.292,compensated
87,deny,54.875,denied
87,field,70.042,compensated
87,object,70.291,compensated
88,field,66.709,compensated
88,mapped,64.417,compensated
88,deny,167.792,denied
88,undoscope,71.709,compensated
88,value,91.0,compensated
88,object,66.875,compensated
88,snapshot,72.375,compensated
89,value,68.375,compensated
89,object,68.792,compensated
89,field,66.708,compensated
89,mapped,62.791,compensated
89,snapshot,78.5,compensated
89,undoscope,66.292,compensated
89,deny,43.083,denied
90,value,80.209,compensated
90,field,177.167,compensated
90,snapshot,82.708,compensated
90,undoscope,79.834,compensated
90,object,116.958,compensated
90,deny,56.333,denied
90,mapped,71.375,compensated
91,field,80.792,compensated
91,deny,45.125,denied
91,undoscope,69.084,compensated
91,mapped,82.834,compensated
91,snapshot,76.125,compensated
91,object,71.292,compensated
91,value,67.708,compensated
92,mapped,65.0,compensated
92,deny,47.75,denied
92,value,63.833,compensated
92,undoscope,65.583,compensated
92,field,60.333,compensated
92,snapshot,67.166,compensated
92,object,80.334,compensated
93,deny,43.292,denied
93,undoscope,67.292,compensated
93,value,74.083,compensated
93,object,61.666,compensated
93,field,61.958,compensated
93,mapped,61.167,compensated
93,snapshot,77.292,compensated
94,value,63.166,compensated
94,mapped,67.167,compensated
94,undoscope,67.292,compensated
94,snapshot,73.416,compensated
94,object,61.125,compensated
94,field,68.833,compensated
94,deny,47.125,denied
95,field,63.125,compensated
95,object,66.667,compensated
95,mapped,59.417,compensated
95,snapshot,115.875,compensated
95,value,68.791,compensated
95,deny,46.25,denied
95,undoscope,64.625,compensated
96,object,63.375,compensated
